"","Theme","Sub.Theme","Feature.Name","Co.ordinates","lat","lon","Category"
"216","Office","Informal Outdoor Facility (Park/Garden/Reserve)","North Melbourne Recreation Reserve","-37.8246924089335, 144.964979061564",-37.8246924089335,144.964979061564,"Institutional"
"217","Office","Informal Outdoor Facility (Park/Garden/Reserve)","Princes Park","-37.8248231859563, 144.965169035668",-37.8248231859563,144.965169035668,"Institutional"
"218","Transport","Office","Victorian Insitute of Forensic Medicine","-37.8121572789173, 144.973742010011",-37.8121572789173,144.973742010011,"Transport"
"219","Transport","Office","Donor Tissue Bank of Victoria","-37.7834651216244, 144.914902626775",-37.7834651216244,144.914902626775,"Transport"
"220","Transport","Railway Station","Parliament Railway Station","-37.7872726241965, 144.929059958114",-37.7872726241965,144.929059958114,"Transport"
"222","Place Of Assembly","Railway Station","Newmarket Railway Station","-37.7976589943217, 144.968750113566",-37.7976589943217,144.968750113566,"Place Of Assembly"
"223","Leisure/Recreation","Public Hospital","Alfred Hospital","-37.7823097850883, 144.910822117306",-37.7823097850883,144.910822117306,"Leisure/Recreation"
"224","Place Of Assembly","Theatre Live","Carlton Courthouse Theatre","-37.8102053945163, 144.97013311862",-37.8102053945163,144.97013311862,"Place Of Assembly"
"225","Place Of Assembly","Theatre Live","Comedy Theatre","-37.7991304956733, 144.967669503083",-37.7991304956733,144.967669503083,"Place Of Assembly"
"227","Place Of Assembly","Industrial (Manufacturing)","Kraft","-37.816485409696, 144.969386556998",-37.816485409696,144.969386556998,"Place Of Assembly"
"228","Mixed Use","Theatre Live","Forum Theatre","-37.80687252157, 144.923287444259",-37.80687252157,144.923287444259,"Mixed Use"
"229","Mixed Use","Retail/Office/Carpark","Melbourne Wholesale Fruit, Vegetable & Flower Market","-37.8105371797142, 144.962749729496",-37.8105371797142,144.962749729496,"Mixed Use"
"230","Transport","Retail/Office/Carpark","Melbourne Central","-37.8100167030855, 144.963789344893",-37.8100167030855,144.963789344893,"Transport"
"231","Leisure/Recreation","Railway Station","Melbourne Central Railway Station","-37.8031480577285, 144.965761295089",-37.8031480577285,144.965761295089,"Leisure/Recreation"
"232","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Argyle Square","-37.8025164192523, 144.965863092947",-37.8025164192523,144.965863092947,"Leisure/Recreation"
"233","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Piazza Italia","-37.8002735025371, 144.973059252203",-37.8002735025371,144.973059252203,"Leisure/Recreation"
"234","Purpose Built","Informal Outdoor Facility (Park/Garden/Reserve)","Murchinson Square","-37.8209627824685, 144.958425696055",-37.8209627824685,144.958425696055,"Leisure/Recreation"
"235","Leisure/Recreation","Major Sports & Recreation Facility","Westpac Centre","-37.8242456858593, 144.979720306309",-37.8242456858593,144.979720306309,"Leisure/Recreation"
"237","Transport","Bridge","Webb Bridge","-37.8232052384507, 144.947291011905",-37.8232052384507,144.947291011905,"Transport"
"238","Education Centre","School - Primary and Secondary Education","Melbourne Girls Grammar School","-37.8315364518803, 144.985089428348",-37.8315364518803,144.985089428348,"Education Centre"
"239","Retail","Department Store","Myer","-37.8135911985281, 144.963855087868",-37.8135911985281,144.963855087868,"Mixed Use"
"240","Retail","Department Store","David Jones","-37.8133127260638, 144.964373486798",-37.8133127260638,144.964373486798,"Mixed Use"
"242","Mixed Use","Retail/Office/Carpark","ANZ 'Gothic' Bank","-37.8161580666029, 144.961673719242",-37.8161580666029,144.961673719242,"Mixed Use"
