"Business.address","Trading.name","Seating_type","Number_of_seats","Census.year","Block.ID","Property.ID","Base.property.ID","Building.address","CLUE.small.area","Industry..ANZSIC4..code","Industry..ANZSIC4..description","Longitude","Latitude","location"
"501-503 Elizabeth Street MELBOURNE VIC 3000","McDonalds","Indoor, Outdoor",200,2022,114,103235,103235,"501-503 Elizabeth Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.959554123996,-37.8073524639,"-37.8073524639, 144.95955412399587"
"92 Spencer Street MELBOURNE VIC 3000","McDonalds","Indoor",36,2022,31,102109,102109,"Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.95435075675,-37.8186752110055,"-37.81867521100554, 144.95435075675"
"Basement & Part Ground 168 Bourke Street MELBOURNE VIC 3000","McDonalds","Indoor",40,2022,57,101209,101209,"168-174 Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96824771905,-37.812512560395,"-37.81251256039496, 144.96824771905"
"Shop 101, Level 1 27 Whiteman Street SOUTHBANK VIC 3006","McDonalds","Indoor",75,2022,806,110343,640947,"Crown Casino Retail Precinct 27-45 Whiteman Street SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.958442233811,-37.825404033,"-37.825404033, 144.95844223381087"
"Shop 4R, 3 Freshwater Place SOUTHBANK VIC 3006","McDonalds","Indoor",82,2022,802,575820,575820,"Freshwater Place Residential 1-9 Freshwater Place SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.962182583982,-37.8217150925,"-37.8217150925, 144.96218258398218"
"Tenancy 3, Ground 50 Flemington Road PARKVILLE VIC 3052","McDonalds","Indoor",32,2022,931,103908,103908,"Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052","Parkville",4511,"Cafes and Restaurants",144.9495226105,-37.7936310513435,"-37.793631051343525, 144.9495226105"
"53 South Wharf Promenade SOUTH WHARF VIC 3006","Meat Market South Wharf","Outdoor, Indoor",182,2022,804,110988,110988,"29-65 South Wharf Promenade SOUTH WHARF VIC 3006","Southbank",4511,"Cafes and Restaurants",144.950614615564,-37.8241117384,"-37.824111738400006, 144.95061461556418"
"Ground 135 Flinders Lane MELBOURNE VIC 3000","Meatball & Wine Bar","Outdoor, Indoor",89,2022,17,103928,103928,"133-135 Flinders Lane MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9701588779,-37.8157393318424,"-37.81573933184235, 144.97015887790002"
"143-145 Bourke Street MELBOURNE VIC 3000","Meating Korean BBQ","Indoor",80,2022,47,101120,101120,"143-145 Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9690420109,-37.8127829806854,"-37.81278298068544, 144.9690420109"
"Shop 11, Basement 195 Little Collins Street MELBOURNE VIC 3000","Meatmaiden","Indoor",100,2022,36,102152,102152,"162-168 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96784765085,-37.8145029200355,"-37.814502920035494, 144.96784765085"
"265-281 Errol Street NORTH MELBOURNE VIC 3051","Mecure North Melbourne","Indoor",50,2022,353,103466,103466,"265-281 Errol Street NORTH MELBOURNE VIC 3051","North Melbourne",4400,"Accommodation",144.9502186123,-37.7966383706996,"-37.79663837069958, 144.9502186123"
"Kiosk Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052","Meerkat Cafe","Outdoor",34,2022,931,110273,110273,"Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052","Parkville",4512,"Takeaway Food Services",144.951631758144,-37.7846235909,"-37.7846235909, 144.951631758144"
"24 Artemis Lane MELBOURNE VIC 3000","Meet Fresh QV","Outdoor, Indoor",62,2022,76,589841,105749,"QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.965725053002,-37.81067861705,"-37.81067861705, 144.965725053002"
"507 Elizabeth Street MELBOURNE VIC 3000","Meet Sando","Indoor, Outdoor",80,2022,113,110690,108118,"507-523 Elizabeth Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9576272223,-37.8078325742213,"-37.807832574221266, 144.9576272223"
"Tenancy 36B, LwrGround 18 Batmans Hill Drive DOCKLANDS VIC 3008","Meister","Indoor",15,2022,1105,640970,640970,"14-24 Batmans Hill Drive DOCKLANDS VIC 3008","Docklands",4512,"Takeaway Food Services",144.949822025254,-37.82131269085,"-37.82131269085, 144.94982202525404"
"Ground 241 Swanston Street MELBOURNE VIC 3000","Mekong Vietnam","Indoor",50,2022,65,109291,109291,"239-241 Swanston Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.964776888988,-37.81239279855,"-37.81239279855, 144.9647768889876"
"Part Podium 1 Southgate Avenue SOUTHBANK VIC 3006","Melba Restaurant","Indoor",220,2022,753,110323,110380,"Langham Hotel 1 Southgate Avenue SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.966303090775,-37.82071820925,"-37.82071820925, 144.96630309077528"
